,Yellow,date,fifth,first,fourth,second,third
212,14,2/10/2017,75,32,62,39,51
213,12,2/7/2017,71,23,56,28,37
214,3,2/3/2017,64,3,30,6,29
215,4,1/31/2017,72,3,62,14,27
216,8,1/27/2017,61,17,54,37,53
217,11,1/24/2017,67,8,63,42,54
218,14,1/20/2017,53,7,41,9,24
219,3,1/17/2017,59,20,56,31,54
220,11,1/13/2017,75,10,74,44,58
221,15,1/10/2017,59,11,41,20,40
222,6,1/6/2017,54,6,47,10,44
223,12,1/3/2017,53,14,49,16,23
224,2,12/30/2016,43,6,39,21,33
225,11,12/27/2016,39,2,38,28,30
226,15,12/23/2016,69,21,60,30,39
227,2,12/20/2016,65,1,48,12,14
228,6,12/16/2016,43,1,36,8,15
229,14,12/13/2016,41,2,34,15,26
230,1,12/9/2016,68,19,67,27,47
231,12,12/6/2016,63,13,53,34,48
232,1,12/2/2016,51,3,49,33,35
233,8,11/29/2016,59,22,51,33,49
234,10,11/25/2016,75,44,69,47,49
235,7,11/22/2016,69,1,66,43,45
236,15,11/18/2016,58,31,55,32,49
237,6,11/15/2016,71,9,57,17,23
238,11,11/11/2016,59,16,53,40,47
239,12,11/8/2016,74,46,61,48,53
240,10,11/4/2016,46,10,44,29,32
241,13,11/1/2016,45,19,39,24,31
242,2,10/28/2016,66,7,57,38,46
243,13,10/25/2016,67,8,49,9,24
244,3,10/21/2016,66,12,48,43,44
245,1,10/18/2016,74,7,65,24,28
246,5,10/14/2016,74,7,64,27,60
247,3,10/11/2016,48,36,45,39,42
248,14,10/7/2016,65,24,50,37,42
249,1,10/4/2016,66,18,54,29,30
250,9,9/30/2016,57,21,50,30,47
251,4,9/27/2016,72,14,53,16,26
252,14,9/23/2016,62,1,25,5,8
253,2,9/20/2016,72,2,62,22,34
254,15,9/16/2016,40,13,34,21,28
255,15,9/13/2016,56,6,39,15,17
256,11,9/9/2016,63,1,44,34,43
257,8,9/6/2016,75,25,69,37,58
258,3,9/2/2016,60,22,46,28,41
259,11,8/30/2016,71,28,51,32,41
260,14,8/26/2016,44,10,41,11,31
261,1,8/23/2016,66,2,61,7,46
262,13,8/19/2016,73,22,65,37,45
263,6,8/16/2016,63,2,62,43,52
264,14,9/23/2016,62,1,25,5,8
265,2,9/20/2016,72,2,62,22,34
266,15,9/16/2016,40,13,34,21,28
267,15,9/13/2016,56,6,39,15,17
268,11,9/9/2016,63,1,44,34,43
269,8,9/6/2016,75,25,69,37,58
270,3,9/2/2016,60,22,46,28,41
271,11,8/30/2016,71,28,51,32,41
272,14,8/26/2016,44,10,41,11,31
273,1,8/23/2016,66,2,61,7,46
274,13,8/19/2016,73,22,65,37,45
275,6,8/16/2016,63,2,62,43,52
276,10,8/12/2016,69,4,56,41,44
277,1,8/9/2016,66,12,44,19,20
278,6,8/5/2016,74,5,54,18,28
279,12,8/2/2016,70,3,54,12,36
280,4,7/29/2016,48,11,31,16,19
281,9,7/26/2016,54,1,36,4,31
282,7,7/22/2016,30,8,26,24,25
283,4,7/19/2016,66,3,65,34,54
284,4,7/15/2016,58,16,56,51,52
285,4,7/12/2016,68,6,46,8,22
286,5,7/8/2016,73,8,55,19,20
287,10,7/5/2016,73,29,64,46,53
288,14,7/1/2016,49,20,45,41,42
289,7,6/28/2016,55,15,35,17,20
290,11,6/24/2016,63,11,57,14,54
291,10,6/21/2016,50,6,49,13,21
292,9,6/17/2016,59,20,44,23,30
293,6,6/14/2016,62,36,52,37,38
294,7,6/10/2016,68,34,67,61,66
295,4,6/7/2016,72,25,65,48,51
296,10,6/3/2016,71,32,66,54,65
297,8,5/31/2016,49,9,41,31,34
298,9,5/27/2016,70,18,68,41,50
299,15,5/24/2016,75,11,70,50,51
300,8,5/20/2016,68,19,40,24,26
301,6,5/17/2016,75,17,48,24,27
302,7,5/13/2016,66,20,54,21,38
303,4,5/10/2016,74,12,56,22,46
304,7,5/6/2016,36,14,32,26,27
305,15,5/3/2016,45,28,36,29,33
306,10,4/29/2016,74,5,55,6,37
307,2,4/26/2016,48,14,28,16,17
308,13,4/22/2016,60,2,42,19,21
309,2,4/19/2016,65,9,57,28,40
310,9,4/15/2016,73,9,37,10,34
311,3,4/12/2016,63,7,62,11,59
312,15,4/8/2016,71,31,65,38,52
313,10,4/5/2016,57,13,53,45,52
314,6,4/1/2016,69,25,41,28,33
315,15,3/29/2016,49,33,46,38,40
316,12,3/25/2016,46,4,35,11,12
317,5,3/22/2016,70,6,38,19,34
318,13,3/18/2016,73,5,59,8,57
319,7,3/15/2016,68,18,44,26,30
320,13,3/11/2016,71,14,54,18,48
321,5,3/8/2016,69,27,66,37,54
322,14,3/4/2016,73,21,48,26,33
323,6,3/1/2016,55,1,34,29,33
324,14,2/26/2016,74,3,62,15,19
325,10,2/23/2016,57,16,53,32,39
326,4,2/19/2016,75,2,50,27,41
327,4,2/16/2016,64,9,46,31,33
328,1,2/12/2016,73,1,68,7,44
329,13,2/9/2016,71,3,56,42,46
330,2,2/5/2016,75,4,55,6,23
331,9,2/2/2016,70,7,51,13,25
332,6,1/29/2016,52,20,51,28,49
333,2,1/26/2016,69,14,50,27,39
334,3,1/22/2016,56,21,46,25,40
335,9,1/19/2016,47,2,39,17,31
336,12,1/15/2016,70,29,54,41,53
337,15,1/12/2016,48,15,31,27,29
338,2,1/8/2016,75,11,57,39,51
339,13,1/5/2016,57,1,48,4,36
340,9,1/1/2016,39,7,38,18,37
341,7,12/29/2015,74,20,62,25,55
342,4,12/25/2015,51,15,44,25,29
343,15,12/22/2015,70,11,50,21,40
344,7,12/18/2015,62,6,28,23,24
345,5,12/15/2015,61,18,51,25,47
346,5,12/11/2015,69,14,54,20,43
347,15,12/8/2015,73,7,49,17,37
348,6,12/4/2015,73,26,61,42,47
349,12,12/1/2015,59,5,50,7,25
350,12,11/27/2015,59,16,56,20,39
351,8,11/24/2015,70,2,38,19,30
352,15,11/20/2015,67,9,37,12,29
353,10,11/17/2015,61,12,24,14,18
354,9,11/13/2015,59,17,35,18,31
355,4,11/10/2015,71,8,45,17,20
356,8,11/6/2015,72,10,50,31,35
357,12,11/3/2015,74,16,69,29,44
358,15,10/30/2015,56,17,53,41,51
359,4,10/27/2015,74,9,29,26,27
360,1,10/23/2015,70,25,45,32,37
361,4,10/20/2015,52,6,38,25,35
362,4,10/16/2015,68,2,61,38,48
363,1,10/13/2015,52,7,38,9,24
364,14,10/9/2015,75,8,63,9,21
365,13,10/6/2015,66,17,64,58,63
366,9,10/2/2015,47,4,31,14,29
367,9,9/29/2015,62,8,61,21,30
368,4,9/25/2015,64,3,51,8,38
369,8,9/22/2015,51,28,45,30,38
370,7,9/18/2015,65,17,51,34,35
371,9,9/15/2015,56,7,49,20,35
372,14,9/11/2015,67,5,50,11,31
373,7,9/8/2015,46,19,41,20,36
374,5,9/4/2015,57,17,52,21,39
375,13,9/1/2015,54,2,40,5,35
376,9,8/28/2015,68,13,60,35,40
377,1,8/25/2015,63,5,59,44,54
378,1,8/21/2015,72,13,41,15,21
379,9,8/18/2015,53,2,39,7,33
380,3,8/14/2015,71,12,52,15,20
381,8,8/11/2015,68,3,57,8,29
382,10,8/7/2015,66,1,63,38,53
383,14,8/4/2015,57,2,51,19,44
384,10,7/31/2015,46,28,40,32,33
385,15,7/28/2015,75,8,68,35,61
386,13,7/24/2015,62,10,60,12,26
387,1,7/21/2015,74,20,65,30,62
388,15,7/17/2015,41,6,31,17,30
389,5,7/14/2015,72,19,35,24,30
390,8,7/10/2015,54,24,51,27,45
391,14,7/7/2015,49,6,28,15,16
392,9,7/3/2015,72,33,71,50,64
393,15,6/30/2015,50,11,43,17,34
394,3,6/26/2015,50,12,47,23,33
395,2,6/23/2015,70,6,56,13,38
396,10,7/31/2015,46,28,40,32,33
397,15,7/28/2015,75,8,68,35,61
398,13,7/24/2015,62,10,60,12,26
399,1,7/21/2015,74,20,65,30,62
400,15,7/17/2015,41,6,31,17,30
401,5,7/14/2015,72,19,35,24,30
402,8,7/10/2015,54,24,51,27,45
403,14,7/7/2015,49,6,28,15,16
404,9,7/3/2015,72,33,71,50,64
405,15,6/30/2015,50,11,43,17,34
406,3,6/26/2015,50,12,47,23,33
407,2,6/23/2015,70,6,56,13,38
408,8,6/19/2015,68,4,52,35,36
409,14,6/16/2015,67,8,56,19,26
410,2,6/12/2015,62,1,56,40,42
411,7,6/9/2015,36,6,25,16,17
412,10,6/5/2015,49,7,41,22,27
413,12,6/2/2015,23,2,22,9,11
414,2,5/29/2015,66,20,49,27,38
415,12,5/26/2015,72,1,69,39,52
416,8,5/22/2015,48,3,25,14,15
417,10,5/19/2015,65,10,29,12,21
418,15,5/15/2015,74,11,36,17,21
419,2,5/12/2015,44,14,36,30,33
420,7,5/8/2015,72,9,66,21,25
421,7,5/5/2015,71,11,62,21,42
422,3,5/1/2015,74,17,66,18,61
423,11,4/28/2015,63,22,58,27,55
424,4,4/24/2015,67,24,47,25,29
425,11,4/21/2015,69,31,41,33,35
426,5,4/17/2015,50,15,41,18,29
427,3,4/14/2015,71,3,68,7,25
428,9,4/10/2015,68,6,46,11,32
429,6,4/7/2015,64,5,26,15,22
430,2,4/3/2015,74,10,63,36,47
431,11,3/31/2015,73,8,61,26,41
432,3,3/27/2015,70,17,58,21,36
433,12,3/24/2015,55,2,45,23,32
434,7,3/20/2015,75,7,61,50,54
435,3,3/17/2015,58,11,45,27,44
436,3,3/13/2015,45,8,42,22,30
437,14,3/10/2015,73,10,30,14,19
438,5,3/6/2015,73,30,68,48,55
439,3,3/3/2015,50,9,44,11,42
440,4,2/27/2015,64,7,60,49,53
441,4,2/24/2015,66,15,45,23,26
442,13,2/20/2015,66,2,52,6,8
443,1,2/17/2015,66,6,65,45,50
444,14,2/13/2015,74,4,65,20,44
445,15,2/10/2015,71,7,58,42,53
446,13,2/6/2015,68,5,33,6,17
447,13,2/3/2015,69,11,58,22,25
448,6,1/30/2015,55,18,45,31,39
449,7,1/27/2015,57,5,44,26,27
450,8,1/23/2015,72,14,68,15,32
451,6,1/20/2015,63,31,59,35,56
452,11,1/16/2015,58,26,45,32,44
453,7,1/13/2015,51,12,50,20,25
454,8,1/9/2015,57,37,56,49,50
455,4,1/6/2015,75,12,38,20,27
456,12,1/2/2015,74,13,62,15,35
457,12,12/30/2014,67,3,63,7,44
458,14,12/26/2014,38,2,20,5,10
459,7,12/23/2014,66,4,56,10,31
460,4,12/19/2014,68,14,59,18,58
461,1,12/16/2014,73,41,72,58,68
462,7,12/12/2014,65,2,58,31,46
463,14,12/9/2014,52,27,51,45,49
464,5,12/5/2014,59,4,51,5,11
465,11,12/2/2014,62,13,49,18,22
466,10,11/28/2014,47,8,36,26,29
467,4,11/25/2014,56,10,47,11,29
468,15,11/21/2014,63,3,37,12,35
469,6,11/18/2014,75,37,68,39,53
470,15,11/14/2014,68,3,62,49,61
471,11,11/11/2014,75,23,30,25,28
472,5,11/7/2014,66,31,65,35,41
473,1,11/4/2014,41,9,39,15,24
474,15,10/31/2014,67,11,58,29,36
475,11,10/28/2014,60,3,58,50,57
476,3,10/24/2014,55,2,28,14,21
477,11,10/21/2014,66,5,41,35,37
478,12,10/17/2014,60,21,56,31,43
479,15,10/14/2014,68,11,64,37,46
480,3,10/10/2014,59,2,50,32,35
481,2,10/7/2014,55,16,48,29,46
482,6,10/3/2014,67,3,58,20,34
483,6,9/30/2014,61,3,54,16,52
484,9,9/26/2014,62,17,46,26,35
485,12,9/23/2014,43,21,40,24,25
486,2,9/19/2014,34,16,29,25,27
487,2,9/16/2014,73,25,53,45,51
488,7,9/12/2014,42,18,36,28,33
489,1,9/9/2014,71,25,70,34,55
490,7,9/5/2014,59,7,24,12,20
491,1,9/2/2014,72,1,69,8,54
492,12,8/29/2014,73,3,58,26,45
493,1,8/26/2014,64,29,60,31,51
494,3,8/22/2014,74,5,41,31,34
495,15,8/19/2014,71,22,67,39,56
496,9,8/15/2014,68,16,29,19,28
497,6,8/12/2014,68,32,63,53,60
498,7,8/8/2014,75,9,70,16,61
499,6,8/5/2014,53,25,45,28,36
500,6,8/1/2014,72,13,37,29,34
501,1,7/29/2014,74,2,43,8,16
502,12,7/25/2014,68,22,41,29,33
503,15,7/22/2014,47,14,31,18,22
504,3,7/18/2014,72,5,65,8,59
505,5,7/15/2014,40,2,36,4,17
506,10,7/11/2014,69,9,35,13,30
507,9,7/8/2014,49,14,48,25,27
508,2,7/4/2014,69,16,58,33,39
509,15,7/1/2014,49,9,47,22,38
510,10,6/27/2014,64,15,46,29,31
511,10,6/24/2014,65,13,47,17,24
512,3,6/20/2014,56,1,29,22,25
513,3,6/17/2014,60,10,47,14,24
514,1,6/13/2014,56,7,49,38,46
515,7,6/10/2014,74,2,26,10,24
516,9,6/6/2014,72,12,49,29,37
517,6,6/3/2014,74,19,66,28,62
518,2,5/30/2014,62,10,43,13,42
519,13,5/27/2014,58,1,46,6,10
520,15,5/23/2014,70,12,38,14,21
521,7,5/20/2014,69,10,64,40,63
522,11,5/16/2014,56,13,50,14,16
523,1,5/13/2014,74,37,70,46,48
524,14,5/9/2014,59,10,51,28,39
525,5,5/6/2014,51,18,48,20,27
526,13,5/2/2014,40,1,35,18,26
527,3,4/29/2014,66,7,61,43,59
528,9,6/6/2014,72,12,49,29,37
529,6,6/3/2014,74,19,66,28,62
530,2,5/30/2014,62,10,43,13,42
531,13,5/27/2014,58,1,46,6,10
532,15,5/23/2014,70,12,38,14,21
533,7,5/20/2014,69,10,64,40,63
534,11,5/16/2014,56,13,50,14,16
535,1,5/13/2014,74,37,70,46,48
536,14,5/9/2014,59,10,51,28,39
537,5,5/6/2014,51,18,48,20,27
538,13,5/2/2014,40,1,35,18,26
539,3,4/29/2014,66,7,61,43,59
540,9,4/25/2014,66,3,20,11,18
541,1,4/22/2014,50,2,49,18,19
542,9,4/18/2014,63,18,45,25,38
543,13,4/15/2014,70,4,47,39,46
544,8,4/11/2014,57,3,47,42,44
545,3,4/8/2014,71,35,60,36,41
546,9,4/4/2014,54,1,41,10,15
547,9,4/1/2014,75,10,74,23,68
548,12,3/28/2014,73,2,50,3,9
549,15,3/25/2014,73,19,57,26,51
550,10,3/21/2014,53,2,35,23,30
551,7,3/18/2014,51,11,33,19,24
552,12,3/14/2014,69,7,54,20,40
553,10,3/11/2014,69,9,57,14,56
554,1,3/7/2014,69,11,57,13,51
555,10,3/4/2014,45,10,35,29,31
556,6,2/28/2014,59,3,58,31,50
557,15,2/25/2014,66,12,35,18,25
558,15,2/21/2014,46,23,45,29,32
559,14,2/18/2014,70,23,37,29,31
560,7,2/14/2014,72,20,71,28,35
561,4,2/11/2014,73,43,71,64,67
562,10,2/7/2014,64,11,35,21,23
563,9,2/4/2014,73,25,60,44,49
564,8,1/31/2014,52,3,47,9,13
565,2,1/28/2014,60,7,53,16,28
566,10,1/24/2014,65,22,47,45,46
567,4,1/21/2014,52,8,45,23,33
568,11,1/17/2014,51,1,31,10,26
569,13,1/14/2014,69,4,62,23,26
570,8,1/10/2014,57,8,37,28,36
571,6,1/7/2014,64,13,62,34,56
572,5,1/3/2014,70,22,40,24,25
573,8,12/31/2013,58,8,52,12,34
574,11,12/27/2013,49,4,48,15,35
575,2,12/24/2013,73,23,58,34,53
576,6,12/20/2013,57,3,49,4,31
577,7,12/17/2013,39,8,20,14,17
578,12,12/13/2013,70,19,27,24,26
579,13,12/10/2013,65,5,41,12,22
580,3,12/6/2013,64,11,63,29,44
581,3,12/3/2013,59,7,44,12,41
582,5,11/29/2013,57,9,47,41,43
583,3,11/26/2013,75,27,74,44,59
584,8,11/22/2013,44,17,36,23,35
585,2,11/19/2013,63,14,49,15,29
586,8,11/15/2013,63,25,54,44,49
587,15,11/12/2013,71,20,42,30,32
588,7,11/8/2013,65,41,57,42,51
589,2,11/5/2013,74,2,64,11,42
590,1,11/1/2013,67,32,62,35,49
591,7,10/29/2013,54,20,53,33,50
592,15,10/25/2013,60,6,54,16,45
593,14,10/22/2013,71,2,52,3,19
594,1,10/18/2013,56,5,48,20,45
595,11,10/15/2013,50,4,43,23,30
596,46,10/11/2013,48,3,45,27,37
597,5,10/8/2013,40,6,23,15,19
598,5,10/4/2013,44,4,25,16,24
599,1,10/1/2013,53,7,37,10,30
600,38,9/27/2013,51,9,49,23,27
601,33,9/24/2013,40,4,39,11,32
602,34,9/20/2013,47,1,21,15,20
603,25,9/17/2013,39,6,31,15,27
604,8,9/13/2013,54,9,48,22,28
605,1,9/10/2013,56,2,54,12,18
606,31,9/6/2013,41,2,22,16,17
607,28,9/3/2013,41,4,28,13,14
608,33,8/30/2013,44,6,43,19,24
609,38,8/27/2013,38,4,36,7,30
610,14,8/23/2013,53,1,20,9,17
611,33,8/20/2013,41,13,38,28,35
612,37,8/16/2013,46,7,36,13,26
613,40,8/13/2013,41,2,37,31,32
614,12,8/9/2013,38,11,34,20,30
615,41,8/6/2013,55,1,51,11,16
616,4,8/2/2013,39,8,25,21,23
617,39,7/30/2013,44,25,42,27,36
618,42,7/26/2013,38,4,27,22,23
619,46,7/23/2013,51,25,50,32,35
620,46,7/19/2013,42,16,39,20,24
621,20,7/16/2013,53,10,40,14,21
622,10,7/12/2013,51,4,27,5,25
623,14,7/9/2013,48,3,45,21,43
624,42,7/5/2013,54,2,47,23,41
625,40,7/2/2013,53,36,52,42,51
626,38,6/28/2013,52,8,46,15,35
627,16,6/25/2013,51,3,33,5,28
628,3,6/21/2013,50,3,40,14,17
629,30,6/18/2013,48,6,40,17,34
630,20,6/14/2013,34,2,33,5,31
631,28,6/11/2013,53,15,50,40,45
632,21,6/7/2013,55,1,48,10,37
633,19,6/4/2013,55,10,20,11,12
634,26,5/31/2013,46,2,44,20,26
635,36,5/28/2013,54,4,32,12,25
636,28,5/24/2013,53,4,18,5,16
637,11,5/21/2013,55,2,48,15,17
638,41,5/17/2013,49,11,43,15,35
639,38,5/14/2013,32,6,28,10,12
640,28,5/10/2013,49,1,39,19,20
641,31,5/7/2013,51,1,20,6,13
642,39,5/3/2013,54,2,42,20,34
643,43,4/30/2013,49,21,39,30,34
644,31,4/26/2013,55,17,54,42,49
645,10,4/23/2013,50,9,32,21,22
646,28,4/19/2013,43,6,22,8,12
647,42,4/16/2013,39,2,18,5,15
648,28,4/12/2013,21,1,19,10,13
649,13,4/9/2013,54,17,48,30,41
650,5,4/5/2013,41,8,36,15,23
651,34,4/2/2013,47,7,40,10,14
652,21,3/29/2013,53,25,46,31,36
653,46,3/26/2013,51,20,49,33,46
654,38,3/22/2013,41,14,37,27,34
655,35,3/19/2013,37,3,21,6,14
656,8,3/15/2013,32,4,22,8,17
657,39,3/12/2013,30,9,20,12,19
658,44,3/8/2013,35,4,34,11,25
659,42,3/5/2013,46,6,41,20,39
660,28,4/12/2013,21,1,19,10,13
661,13,4/9/2013,54,17,48,30,41
662,5,4/5/2013,41,8,36,15,23
663,34,4/2/2013,47,7,40,10,14
